vehicle_name	year	horsepower_weight	length_width	ac_standard	miles_per_dollar	price	market_share	firmid
AD100L	71	0.4879084	1.2627	0	1.9827198	8.8765432	0.000281	7
ADSUPE	71	0.4657662	1.1136	0	2.2019093	7.6419753	0.0000376	7
AMAMBS	71	0.4524887	1.6458	0	1.5042857	8.9283951	0.0004424	15
AMGREM	71	0.5289969	1.1502	0	1.8881456	4.9358025	0.0010513	15
AMHORN	71	0.4943244	1.278	0	1.935989	5.5160494	0.0006701	15
AMJAVL	71	0.4676134	1.4592	0	1.7167995	7.108642	0.0003405	15
AMMATA	71	0.4265403	1.6068	0	1.6878709	6.8395062	0.0005222	15
BKCNTU	71	0.7313675	1.768	0	2.1941209	11.2691358	0.0004873	19
BKELCT	71	0.7190139	1.816	0	2.0561538	12.1358025	0.0024151	19
BKLSAB	71	0.564002	1.768	0	1.7279258	9.8567901	0.0026506	19
BKRIVE	71	0.7283237	1.744	0	1.9782692	12.9703704	0.0005514	19
BKSKYL	71	0.4508706	1.6224	0	1.7268132	7.1530864	0.0027561	19
CDCALA	71	0.7324841	1.808	0	1.9181868	15	0.0001272	19
CDDEVI	71	0.7293869	1.808	0	1.9126236	16.0444444	0.0027046	19
CDELDR	71	0.7807487	1.776	0	2.0183242	18.2296296	0.0005341	19
CDFLTW	71	0.7165109	1.832	0	1.8925962	19.1679012	0.0003329	19
CPSC20	71	0.3738784	1.092	0	2.3320879	6.037037	0.0006365	25
CR300	71	0.7752835	1.8	0	1.6578297	11.5728395	0.0001197	16
CRNEWP	71	0.6593143	1.8	0	1.5287637	10.345679	0.0010378	16
CRNEWY	71	0.7727797	1.8	0	1.8937088	12.1234568	0.0003387	16
CVBELA	71	0.3885316	1.736	0	1.4175	7.982716	0.0007317	19
CVBISC	71	0.3885316	1.736	0	1.4175	7.6444444	0.0003803	19
CVCAMA	71	0.468649	1.41	0	1.62	7.2123457	0.0018118	19
CVCAPR	71	0.6311881	1.736	0	1.4631181	10.2074074	0.0020888	19
CVCHEV	71	0.4517134	1.5352	0	1.6823077	6.6098765	0.00503	19
CVCORV	71	0.843223	1.2627	0	1.8725687	13.6617284	0.000358	19
CVIMPA	71	0.3856383	1.736	0	1.4063736	8.3728395	0.0086585	19
CVMNTC	71	0.7024083	1.5732	0	1.6044231	8.4345679	0.0021865	19
CVNOVA	71	0.4872312	1.387	0	1.8024725	5.9382716	0.0035328	19
CVVEGA	71	0.4193849	1.122	0	2.2119231	5.1604938	0.0040049	19
DGCHAR	71	0.4510109	1.5862	0	1.5443407	6.6839506	0.0000602	16
DGCHLN	71	0.4139073	1.4784	0	1.6544918	6.7333333	0.0004403	16
DGCOLT	71	0.4950495	1.0168	0	2.3309753	4.9259259	0.0004257	16
DGCORN	71	0.4468413	1.6146	0	1.6144368	6.8567901	0.0018469	16
DGDART	71	0.4310345	1.379	0	1.9493407	6.0493827	0.0031208	16
DGMONA	71	0.6790123	1.768	0	1.5565797	10.4271605	0.0002739	16
DGPOLA	71	0.3861518	1.768	0	1.3785577	8.1432099	0.0010769	16
DTCB11	71	0.4284814	0.906	0	2.7971703	4.2864198	0.0007983	2
DTPL51	71	0.4393505	0.992	0	2.4700549	5.2345679	0.0015762	2
FDCUST	71	0.3809524	1.736	0	1.4586676	8.1185185	0.0005091	18
FDGALA	71	0.3768506	1.736	0	1.4430907	8.8740741	0.0033081	18
FDLTD	71	0.6028636	1.736	0	1.4475412	9.7061728	0.0048151	18
FDMAVE	71	0.3841721	1.3277	0	2.1307005	5.5185185	0.0037139	18
FDMUST	71	0.4977686	1.425	0	1.7323764	7.1876543	0.0018437	18
FDPINT	71	0.3848127	1.141	0	2.2664423	4.7382716	0.0049234	18
FDTHNB	71	0.8202324	1.677	0	2.0505907	13.0740741	0.0005773	18
